,Spot Fundamentals,,,,,,,,CPS,,,,,,,,,,,Raw Nuclide Ratios,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,total,total,total,total,total,total,total,total,total,total,total,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Primary,190,195.8,195.9,204,BKG,206,207,208,238,248,254,,,,,,,,,,,,,,,,,,,,,,,,
,,,Stage,Stage,Stage,,,beam,cts,cts,cts,cts,cts,cts,cts,cts,cts,cts,cts,190,,195.9,,204,,206,,206,,207,,208,,208,,238,,248,,248,,254,
Fraction   ,Date/Time ,Hours ,X ,Y ,Z ,Qt1y ,Qt1z ,(na) ,/sec ,/sec ,/sec ,/sec ,/sec ,/sec ,/sec ,/sec ,/sec ,/sec ,/sec ,/195.8 ,+/-1sigma % ,/195.8 ,+/-1sigma % ,/206 ,+/-1sigma % ,/238 ,+/-1sigma % ,/254 ,+/-1sigma % ,/206 ,+/-1sigma % ,/206 ,+/-1sigma % ,/248 ,+/-1sigma % ,/195.8 ,+/-1sigma % ,/195.8 ,+/-1sigma % ,/254 ,+/-1sigma % ,/238 ,+/-1sigma % 
1214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11887-040.1,11/28/2016 20:57,26.554,6965,3505,3563,-160,-986,-7.2,3201.644802,14789.131,156270.7406,0.216666668,0.033333333,1325.710762,246.106675,266.9643921,951.3234269,3744.871703,5931.379546,0.21697557,1.326415092,10.56200591,0.944587749,1.38E-04,30.15273805,1.422326459,0.679092373,0.225988763,1.056353083,0.185054695,0.564575822,0.200925216,2.642577261,0.071055387,2.653519936,0.062963465,1.343425253,0.249560878,1.305298519,0.632287338,0.749226793,6.221795155,0.598249544
11887-104.1,11/28/2016 21:15,26.851,6966,3744,3614,-168,-986,-7.1,2990.333813,13848.25781,149676.8192,0.183333335,0.116666667,1707.373789,313.1994407,262.2050827,1226.308129,4010.993984,7665.425725,0.216164242,1.856451736,10.80925793,0.92459506,3.90E-05,50.00075066,1.402833693,0.910317115,0.224279281,0.41019377,0.183120456,0.5051025,0.152667006,2.636307965,0.065274931,2.641153814,0.086913526,1.306625278,0.284328584,2.126904623,0.523394431,1.144545614,6.247179171,0.525137412
11887-087.1,11/28/2016 21:33,27.154,6964,3221,3778,-176,-986,-6.8,3023.530201,13752.30002,141160.2256,7.559260467,0.033333333,2402.841942,531.112328,557.6173332,1594.617345,4781.0283,10218.12542,0.219829158,1.338276466,10.26156569,0.39079911,0.002986726,4.889661588,1.514333235,1.129847823,0.235566349,0.625576678,0.221505181,0.797349386,0.23299305,1.816509428,0.116696612,3.140641146,0.115084338,0.573717291,0.345696983,0.756107364,0.474885359,0.718832182,6.394347741,0.464975193
11887-087.2,11/29/2016 0:53,30.478,6964,3236,3773,-160,-986,-6.9,7801.069893,14340.58673,158081.2419,0.300000002,0.083333334,5295.524279,970.5803996,1193.546293,4039.454162,18759.55376,25286.66312,0.54442225,0.601431917,11.02214643,0.386995055,4.09E-05,27.73544616,1.320943969,0.68437782,0.210929572,0.236472507,0.182637698,0.286638404,0.223671319,1.248422384,0.063843102,1.255444325,0.277721946,0.465975876,1.29028936,0.895792544,0.742354045,0.352108952,6.258214932,0.298036705
11887-045.1,11/29/2016 1:09,30.752,6966,3672,3467,-160,-986,-6.7,4241.592661,14234.98207,129010.3678,0.166666668,0.083333334,1391.642255,254.5723139,392.2808632,1024.334689,5788.009746,6326.258264,0.298274015,0.736223145,9.064690307,0.38639387,5.99E-05,44.72238942,1.363002986,0.600168904,0.218660039,0.451819429,0.182187643,0.555543182,0.280880954,2.198639181,0.067415998,2.201773913,0.07148843,0.644018604,0.407822236,0.703169272,0.915380494,0.631631894,6.237791748,0.582789887
11887-074.1,11/29/2016 1:26,31.025,6961,3733,3532,-110,-986,-6,4873.985949,14725.0442,133624.3871,0.166666668,0.066666667,1741.82801,323.6594737,516.5979584,1259.370921,7644.402886,7883.249906,0.330597019,0.690734041,9.067521568,0.378382016,5.74E-05,40.82573042,1.377598254,0.891708973,0.219604406,0.769100182,0.186044202,0.49475862,0.295520657,1.87008969,0.067111209,1.891293845,0.086365469,0.595510647,0.526405356,0.632655625,0.970345372,0.551664314,6.270149023,0.519240715
11887-076.1,11/29/2016 1:58,31.573,6961,3744,3564,-110,-986,-7.3,4216.983699,15117.65668,164290.4645,0.316666669,0.083333334,1832.822941,340.8100348,399.6328296,1352.707395,5911.236615,8492.145845,0.279698239,0.737309571,10.86767717,0.899350573,1.27E-04,26.72743273,1.372179562,0.521386313,0.218655299,0.390713697,0.18514028,0.7677686,0.214224081,2.140429465,0.067771444,2.136655364,0.087736738,0.982589154,0.385085227,1.55867398,0.69685549,0.600895232,6.258856734,0.502759269
11887-075.1,11/29/2016 2:15,31.846,6961,3699,3584,-127,-986,-7.2,4238.59067,14347.92617,152591.9963,0.166666668,0.05,2208.567321,407.5173193,461.0227957,1679.319568,7053.034342,10384.98635,0.29993399,0.825009544,10.72680253,0.432203672,5.28E-05,37.79721511,1.325355486,0.931687363,0.215217846,0.394441259,0.18405948,0.440497247,0.209531582,1.981922362,0.065193364,2.001125838,0.115465424,1.1152964,0.484511043,1.519643648,0.679882832,0.554365172,6.175451157,0.455235318
11887-073.1,11/29/2016 2:31,32.12,6961,3692,3549,-127,-986,-6.5,5278.217154,13800.95829,140186.3088,0.183333334,0.05,2557.346838,469.5489741,693.6578364,1875.864483,10650.53664,11693.87405,0.381823245,0.681882852,10.1652587,0.392762625,5.21E-05,35.35604795,1.36276558,0.444788649,0.217884437,0.339002217,0.183508191,0.413652449,0.270551535,2.751282191,0.064873413,2.783508079,0.136490179,0.961575143,0.775612071,0.980950272,0.909198655,0.474177351,6.24257388,0.435781108
11888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11888-002.1,11/27/2016 22:23,3.985,6961,3022,2856,-105,-986,-6.3,4073.115392,12812.38423,164678.9112,0.116666668,0.033333333,1747.706761,322.2169207,99.0187169,1320.398622,1452.225188,8181.210547,0.317833877,1.417802284,12.84093295,0.401736729,4.77E-05,44.72217948,1.328017367,0.532102104,0.214947069,0.700616427,0.184212354,0.495364361,0.055642179,4.410168975,0.068527691,4.426040986,0.102295821,0.613344098,0.112206094,1.240628033,0.178090485,1.125708231,6.175623535,0.509449257
11888-007.1,11/28/2016 0:36,6.207,6966,3107,2881,-154,-986,-7.1,5828.229841,14094.39529,126710.4938,0.066666667,0.083333334,2671.096964,499.6778983,707.6396828,1962.812083,10623.53095,12453.63405,0.414179184,0.660579193,8.986863672,0.389739479,-6.24E-06,100.0002401,1.37768508,0.435016936,0.217033689,0.32615347,0.186494477,0.401034942,0.264050773,1.620644675,0.066743901,1.624207072,0.136585977,0.541973864,0.743388556,0.592768333,0.854884459,0.464926478,6.339414716,0.420212378
11888-008.1,11/28/2016 0:53,6.48,6966,3207,2869,-154,-986,-6.7,7753.640364,14043.01027,175601.4701,0.200000001,0.083333334,2543.413256,468.9281586,990.7110135,1873.674676,14769.81661,11692.24353,0.552038659,0.600482301,12.50374062,0.383686027,4.59E-05,37.79711396,1.357720441,0.442761753,0.217751107,0.549130839,0.184414882,0.411247788,0.392653073,1.373232037,0.066862551,1.366683057,0.133670116,0.548987218,1.053742607,0.5430796,1.263270829,0.419618041,6.233906775,0.4333799
11888-011.1,11/28/2016 1:09,6.753,6966,3252,2851,-146,-986,-6.1,9217.589031,14826.44972,194841.3061,0.233333335,0.1,2777.457822,510.1857571,853.6627787,2021.692514,13093.72479,12590.29027,0.621361721,0.557255145,13.14048458,0.658768507,4.80E-05,35.35599172,1.367616195,0.790001162,0.2194438,0.320137886,0.18434709,0.391388678,0.309555056,1.456207171,0.064872997,1.475586464,0.13736098,0.521233502,0.891414464,0.541338674,1.039571374,0.428775625,6.236385829,0.410112302
11888-009.1,11/28/2016 1:42,7.303,6966,3225,2797,-146,-986,-7.1,5537.607062,15080.45728,197176.084,0.233333336,0.1,3226.225784,592.9263355,122.0003005,2495.452598,2271.382687,15429.23855,0.36822154,1.454938616,13.07299645,1.043341143,4.13E-05,35.35590078,1.318326865,0.429559456,0.212529761,0.535277877,0.183195333,0.745790256,0.037187043,3.897756545,0.053603441,3.860338667,0.161798229,0.501935804,0.146668905,1.017500808,0.147415214,0.886295448,6.151737925,0.70682519
11888-012.1,11/28/2016 1:59,7.576,6966,3325,2822,-146,-986,-7,7070.033953,14062.91479,163335.4539,0.266666668,0.033333333,1330.756881,247.0249182,593.5070853,1000.709923,8724.583248,6164.667711,0.502548638,1.520421975,11.60995973,0.384463785,1.75E-04,26.72792644,1.332039614,0.609775435,0.215620335,0.713243716,0.185848843,0.565655633,0.450664135,3.915658772,0.070553007,1.937092086,0.070857434,0.658597752,0.621871709,1.884933641,1.414491334,1.210602618,6.153133803,0.58716115
11888-014.1,11/28/2016 2:15,7.849,6966,3423,2737,-138,-986,-6.5,7546.993331,14276.74886,190375.0716,0.266666668,0.05,1601.566159,294.2941566,529.4315431,1246.722067,8184.144208,7520.262945,0.52884901,0.599483431,13.32714773,0.377317414,1.35E-04,27.73645284,1.27501744,0.605935335,0.212227601,0.419064595,0.183768038,0.520576478,0.330061636,1.865242909,0.064634868,1.853628954,0.087449161,0.607856982,0.576581252,0.630021911,1.08850511,0.545750397,6.032071747,0.52365382
11888-017.1,11/28/2016 2:48,8.406,6971,3484,2723,-179,-986,-6.2,5582.757116,15096.23934,192905.779,0.266666669,0.066666667,2008.615954,369.5003935,242.8715559,1485.384615,3713.755152,9201.386857,0.369593636,1.081141085,12.76988563,1.089614917,9.96E-05,28.86861888,1.349576093,1.051143554,0.216497602,0.801320608,0.184343297,0.859746888,0.120796998,2.699280957,0.065153468,2.739912512,0.098166987,1.052476168,0.246088883,1.653515242,0.403399727,0.724476383,6.212390739,0.476657603
11888-023.1,11/28/2016 3:05,8.68,6965,2974,3026,-154,-986,-7,10032.64395,14969.22457,130949.447,0.283333336,0.016666667,3625.555133,675.3660601,1024.782751,2665.488889,15419.70916,16777.80281,0.672333741,0.549596207,8.737392538,1.091296992,7.36E-05,25.00070712,1.372874941,0.954418028,0.217962465,0.52165216,0.185857447,0.341028367,0.281591681,1.331373637,0.066640186,1.338991165,0.174612459,0.491551354,1.012874009,1.286173061,0.919441235,0.391304127,6.291261411,0.690108
11888-023.2,11/28/2016 3:21,8.953,6965,3014,3013,-146,-986,-7.1,6924.595805,14183.27013,193310.4693,0.166666668,0.083333334,3320.164883,614.6559923,531.4315871,2454.4007,7778.120007,15303.2679,0.487904506,0.622163511,13.62317288,0.676607547,2.51E-05,44.72179114,1.37407011,0.390442489,0.220093602,0.493204012,0.184098748,0.652095781,0.158605101,1.885971757,0.068316509,1.875417723,0.169022369,0.514809342,0.536547951,0.646618147,0.508500391,0.517508079,6.228016045,0.375441159
11888-024.1,11/28/2016 3:55,9.512,6965,3089,2998,-154,-986,-6.6,5560.435024,13750.55704,195359.6654,0.931481503,0.1,5555.101849,1041.924271,613.4520374,4238.02908,9524.683525,26062.55821,0.402367307,2.69983382,14.18448311,1.131358505,1.29E-04,16.74407491,1.307009895,0.330941347,0.212193082,0.257811529,0.186679617,0.280729887,0.109472222,1.744519857,0.064302751,1.744843383,0.305589874,0.822446325,0.682399918,1.470169083,0.364861766,1.159419147,6.159584789,0.292777406
11888-027.1,11/28/2016 4:11,9.785,6965,3144,2993,-146,-986,-5.5,7720.844771,13983.94913,123588.5533,0.133333334,0.05,2740.065498,502.5522069,590.7848027,2011.944172,8569.905728,12506.72801,0.552242385,0.597380327,8.85214854,0.388608353,3.04E-05,44.72188247,1.346917859,0.665173867,0.216243379,0.581286343,0.184647706,0.39424537,0.217379718,1.745475903,0.068997196,1.764489007,0.146530212,0.5298657,0.622922826,0.614929062,0.68424717,0.504521787,6.223572578,0.411476285
11888-026.1,11/28/2016 4:27,10.058,6965,3216,2905,-146,-986,-6.4,11197.95601,14669.49664,202038.4123,0.166666668,0.083333334,3735.483421,700.9824783,825.0506542,2768.448933,12176.3061,17042.05295,0.76396305,1.26198156,13.79484619,1.067010429,2.23E-05,44.72174312,1.35299134,0.879908554,0.219338364,0.276538438,0.187319073,0.760009927,0.219843077,1.484272328,0.067830783,1.491690984,0.187993554,0.487646415,0.827889203,0.924713468,0.715031792,0.426233844,6.145950088,0.713238783
11888-028.1,11/28/2016 5:00,10.605,6965,3211,2960,-137,-986,-6.9,5750.736874,13615.56203,178203.9825,0.333333336,0.116666667,1878.862885,346.2719787,275.9089369,1439.740295,4210.893581,8925.346941,0.422486904,0.667855796,13.10514491,0.391415973,1.15E-04,27.73623985,1.320999648,0.508702859,0.213567204,0.388617494,0.183308803,0.871780441,0.144887482,2.610913009,0.065196969,2.577445218,0.103609251,0.596115626,0.303143522,0.798183682,0.472072103,0.692925404,6.178101318,0.488526038
11888-031.1,11/28/2016 5:17,10.887,6965,3281,2935,-137,-986,-5.8,3653.027935,12451.03439,162224.3428,0.266666669,0.066666667,1822.677089,326.4909798,135.2411107,1345.888355,1997.384732,8307.555847,0.294105019,0.795751147,13.14479696,0.455687688,1.10E-04,28.86873166,1.308897596,0.528154125,0.211099806,0.401260876,0.181242671,0.495661947,0.074548618,3.72206645,0.06688215,3.802870386,0.111159093,1.175119008,0.162364648,1.213292165,0.238981054,0.974764566,6.181807832,0.511476454
11888-030.1,11/28/2016 5:34,11.16,6965,3346,2875,-137,-986,-5.9,8756.325927,12592.85526,130601.6837,0.231481484,0.083333334,5265.365241,969.4100903,858.903754,3845.780963,12931.51094,23974.81872,0.703169478,0.653220785,10.38088764,0.407815403,2.81E-05,33.54138234,1.367659823,0.710260946,0.219115434,0.467654192,0.184310672,0.288252284,0.163940133,2.851465504,0.066055177,2.390142022,0.305346539,0.491767096,1.045876932,0.631839049,0.540313385,0.861495469,6.231081835,0.305692255
11888-033.1,11/28/2016 6:07,11.71,6965,3393,2858,-128,-986,-6.7,4073.405039,14148.29088,198063.5106,0.300000003,0.05,813.9464547,100.0829704,43.5185587,917.4685906,776.6417101,5689.976679,0.288626373,0.747337297,14.01499423,0.380903821,3.07E-04,25.82293901,0.891314863,0.671221763,0.144048834,0.861374658,0.122331554,1.392186182,0.051180736,10.78125063,0.055319581,11.36453296,0.064252495,0.66671026,0.054813363,1.630509366,0.136535265,1.512061862,6.181629598,0.607248739
11888-036.1,11/28/2016 6:23,11.983,6965,3468,2895,-128,-986,-6.9,8201.419876,13760.23463,118929.7149,0.200000001,0.133333334,2628.274552,484.5421381,577.7289085,1934.750396,8564.588474,12067.9558,0.597012174,1.715690497,8.7035094,0.442874511,2.54E-05,50.00048751,1.374852131,0.746023729,0.220343931,0.32936535,0.183586465,0.404006038,0.218376006,2.95639716,0.06771668,1.780352681,0.137735147,0.549082125,0.613659265,2.596237063,0.710020705,1.346321383,6.218132856,0.963741072
11888-044.1,11/28/2016 6:39,12.257,6966,3062,3069,-161,-986,-6.6,5477.214849,13875.41221,158009.4878,0.266666669,0.133333334,2166.55599,401.0362729,248.4827247,1753.763549,4008.055614,10718.04178,0.395851275,1.657712334,11.40384542,1.862836008,6.15E-05,35.35617574,1.253744532,0.817815213,0.205250504,0.362061992,0.184430318,0.448336938,0.112360651,2.744491417,0.062592637,2.761513852,0.124220455,1.140418977,0.284822031,1.853235943,0.374382878,0.705768513,6.13804219,0.502589519
11888-045.1,11/28/2016 7:12,12.804,6966,3107,3102,-170,-986,-6,12380.36449,14053.9367,191863.7259,0.350000003,0.033333333,3769.549573,695.5575402,1385.030426,2775.308266,21054.34577,17082.06222,0.877577247,2.531327375,13.66219537,0.657646741,8.40E-05,22.94231452,1.340556662,0.832576013,0.21692931,0.489933781,0.185674851,0.338087343,0.372648946,1.147313622,0.065435351,1.171161277,0.199236427,1.776208276,1.51558181,2.738741314,1.23032479,0.75386089,6.163812439,0.549984932
11888-046.1,11/28/2016 7:29,13.077,6966,3167,3042,-162,-986,-6.5,10174.55397,14523.91543,125226.5741,0.31666667,0.066666667,4181.818417,772.2402221,1001.354058,3043.412648,15172.79427,19028.42809,0.700647746,0.545504506,8.616103407,0.379870116,5.98E-05,25.82048252,1.375062291,0.378060716,0.221032667,0.262286769,0.184548018,0.319095748,0.242333614,1.467128846,0.066276999,1.352787077,0.208167118,0.478414849,1.037981812,0.524184193,0.797389236,0.388011899,6.241733932,0.335859372
11888-047.1,11/28/2016 7:45,13.35,6966,3227,3012,-162,-986,-7.1,7305.460035,14484.08197,127044.1945,0.233333336,0.083333334,2331.19535,431.5659487,697.1578884,1774.41934,10424.28207,11015.58518,0.510656949,0.674781916,8.845953418,0.428515306,6.43E-05,33.33415803,1.331842909,0.857003372,0.214188586,0.346084575,0.184459982,0.426542044,0.297817497,1.61407411,0.067104187,1.635875946,0.119523771,0.892891939,0.703686038,0.583989532,0.946952755,0.471354285,6.192283901,0.896051908
11888-013.1,11/28/2016 18:29,24.088,6966,3392,2759,-137,-986,-6.3,7784.223932,14580.67906,193811.7257,0.416666671,0.066666667,2443.901002,454.7094394,721.4733824,1792.930982,10788.39703,11199.96011,0.533933885,0.589589032,13.28172235,0.374083901,1.43E-04,21.82299088,1.358798627,0.798775224,0.217060686,0.729356537,0.186297182,0.41560195,0.294051317,1.583291567,0.066584128,1.590238366,0.122994156,0.538361682,0.740366208,0.571392117,0.96241136,0.465990806,6.255024589,0.435261905
11888-043.1,11/28/2016 19:03,24.645,6966,2982,3079,-170,-986,-5.1,3449.134128,9105.817952,121012.7639,0.266666669,0.016666667,1713.072639,294.5904628,99.94469514,1179.007597,1733.673034,7365.777821,0.382431183,1.659517472,13.31220249,0.582937146,1.46E-04,25.82133811,1.376587023,0.60435504,0.220585894,0.445499253,0.182039514,0.603913749,0.060485151,4.76662375,0.056308317,7.895317095,0.138585472,0.75251674,0.204094984,2.227578537,0.238545117,1.32687632,6.234578338,0.681168557
11888-057.1,11/28/2016 19:24,24.999,6968,3589,2902,-153,-986,-6.8,3870.188204,12409.06883,170873.6161,0.166666667,0.083333334,816.8950978,121.5109081,71.11121274,818.8426925,1153.380254,5078.048811,0.313363394,2.338173309,13.79188147,0.677586102,1.02E-04,44.72311426,1.029187522,2.110802617,0.166025027,1.33723427,0.147682602,2.06113162,0.088056822,5.337406932,0.061566504,5.135331769,0.065793243,0.800542862,0.095533103,4.729957526,0.226925744,6.780563073,6.15181702,0.675151815
11888-069.1,11/28/2016 19:42,25.306,6961,3285,3167,-111,-986,-6.7,4194.548124,13363.61159,180781.7782,0.183333334,0.133333334,2035.799367,352.1340446,142.815227,1543.676119,2107.985453,9690.961604,0.313864573,0.749444119,13.53189168,0.395090669,2.46E-05,57.73557224,1.31958025,0.841995846,0.210502166,0.372082843,0.172976067,0.47466894,0.068469516,6.892375961,0.068247085,5.787717138,0.116403526,0.617754459,0.157513073,1.05622304,0.217784147,0.951984261,6.280150595,0.478627814
11888-081.1,11/28/2016 20:19,25.913,6967,3635,3018,-144,-986,-6.3,5076.868194,14776.03354,193512.5476,0.183333335,0.133333334,2093.816014,369.9074979,159.6857061,1586.166737,2432.438498,9921.189078,0.343473569,0.681037037,13.097161,0.842421624,2.39E-05,57.73555697,1.315950939,0.47807139,0.210024928,0.363138482,0.176765285,0.840825236,0.077809687,5.586247883,0.067865864,3.544271926,0.107588659,0.555593369,0.1653253,0.970102442,0.24503187,0.872165696,6.261045909,0.462681755
11888-090.1,11/28/2016 20:37,26.221,6960,3165,3247,-102,-986,-7.1,4585.809885,15036.04082,196731.2013,0.150000001,0.016666667,1447.849953,250.9027778,151.8337959,1128.094113,2342.039512,7121.045253,0.305213277,0.711187772,13.08763287,0.755692112,9.21E-05,35.35659119,1.295329118,0.573898401,0.205122764,0.431971516,0.172640372,0.552646909,0.105346842,3.442976449,0.064712795,3.452147782,0.073749712,0.624023443,0.154376656,1.685752025,0.329114859,0.906985504,6.29886395,0.547455271
11888-033.2,11/28/2016 23:18,28.9,6968,3402,2855,-151,-986,-6.7,5226.958477,14653.53387,215458.051,0.216666668,0.083333334,968.8552437,124.706691,28.33334996,1140.682442,701.046913,6912.520896,0.356411442,0.671859589,14.70718662,0.371667866,1.38E-04,35.35721039,0.84454488,0.617525109,0.138435005,0.498088401,0.129167833,0.760594074,0.029455313,8.1801258,0.040364776,7.949090615,0.078164157,1.707454154,0.048213539,1.706218141,0.101275218,1.597833151,6.06881909,0.55132629
11888-053.1,11/29/2016 3:04,32.667,6967,3476,2952,-152,-986,-6.6,5166.230091,14805.99971,200570.606,0.350000003,0.083333334,2623.290618,473.4516619,77.94456768,2004.008773,1188.127186,12234.60272,0.348949549,1.05560597,13.54421838,0.371418962,1.02E-04,25.00097732,1.310151513,0.426026019,0.213632682,0.326690124,0.18075385,0.407031009,0.029733164,4.883394943,0.064825049,4.859153676,0.134375191,0.523869447,0.082364084,1.461096924,0.096860618,1.216116257,6.109322638,0.412549205
11888-095.1,11/29/2016 3:20,32.94,6966,3364,3204,-160,-986,-7.2,7714.45877,14654.47714,185172.9317,0.296296299,0.116666667,2695.627156,497.3853867,1019.122155,2062.661858,15509.57112,12628.08761,0.528285386,1.070320013,12.65223292,0.839331585,6.66E-05,30.46116548,1.325077387,0.425918245,0.216403434,0.324158111,0.183843638,0.398139803,0.378066156,1.342032853,0.065796317,1.356364225,0.137150736,0.528638952,1.033368929,0.965987619,1.229907263,0.404076398,6.100275278,0.789415199
11888-099.1,11/29/2016 3:37,33.214,6966,3479,3184,-152,-986,-6.7,5614.453079,13583.09969,112689.8275,0.133333334,0.133333334,1535.045776,287.0127775,441.3557694,1150.253417,6590.748035,7074.979596,0.413580322,0.668396528,8.287965385,0.397443164,6.03E-21,9999,1.335057062,0.56944,0.216812802,0.433076196,0.186891202,0.529723664,0.288126203,2.071619696,0.066277793,2.067401584,0.084080086,0.63843241,0.487215938,0.687680617,0.933565288,0.600443944,6.142523614,0.554914546
11888-100.1,11/29/2016 4:10,33.763,6966,3534,3171,-143,-986,-5.5,4898.914353,14126.32356,199020.1245,0.200000002,0.033333333,944.2286362,171.8859926,521.8758733,699.4518316,8114.658606,4304.947546,0.346494583,0.692310686,14.09170435,0.379522465,1.77E-04,31.62492329,1.334296405,1.153036467,0.215744846,0.541173543,0.182635333,0.679029165,0.552972276,1.871717049,0.063906088,1.876005631,0.05023921,0.725889631,0.582250357,0.622276352,1.882022962,0.589853722,6.179125504,0.694658021
