,Spot Fundamentals,,,,,,,,CPS,,,,,,,,,,,Raw Nuclide Ratios,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,total,total,total,total,total,total,total,total,total,total,total,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Primary,190,195.8,195.9,204,BKG,206,207,208,238,248,254,,,,,,,,,,,,,,,,,,,,,,,,
,,,Stage,Stage,Stage,,,beam,cts,cts,cts,cts,cts,cts,cts,cts,cts,cts,cts,190,,195.9,,204,,206,,206,,207,,208,,208,,238,,248,,248,,254,
Fraction   ,Date/Time ,Hours ,X ,Y ,Z ,Qt1y ,Qt1z ,(na) ,/sec ,/sec ,/sec ,/sec ,/sec ,/sec ,/sec ,/sec ,/sec ,/sec ,/sec ,/195.8 ,+/-1sigma % ,/195.8 ,+/-1sigma % ,/206 ,+/-1sigma % ,/238 ,+/-1sigma % ,/254 ,+/-1sigma % ,/206 ,+/-1sigma % ,/206 ,+/-1sigma % ,/248 ,+/-1sigma % ,/195.8 ,+/-1sigma % ,/195.8 ,+/-1sigma % ,/254 ,+/-1sigma % ,/238 ,+/-1sigma % 
1214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1242-013.1 ,11/28/2016 14:35,20.187,6959,3533,4112,-120,-986,-6.2,4060.705653,14053.79629,135317.5838,0.216666668,0.05,3450.630145,634.313291,536.6353982,2557.492465,8020.757587,16039.44061,0.289276193,1.235558066,9.624160101,0.82395053,4.83E-05,31.62336391,1.358198136,0.942168037,0.216691897,0.463010755,0.183472354,0.351584122,0.153848793,1.849014871,0.067306342,1.863391951,0.179909658,0.503710996,0.561715485,0.633140589,0.500137231,0.505823969,6.259177125,0.368657633
1242-014.1 ,11/28/2016 16:48,22.403,6959,3583,4092,-120,-986,-5.9,5474.698537,11418.72687,105810.5939,0.26666667,0.033333333,2661.927992,488.5574504,388.1697474,2003.370747,5811.591047,12407.52112,0.479031007,0.715402646,9.261762978,0.445090698,8.77E-05,26.72702505,1.343300677,0.435898787,0.215744032,0.337822488,0.183421157,0.417999454,0.143641813,2.212466528,0.066757324,2.225178883,0.178095507,0.583333246,0.51909543,0.749023255,0.467109491,0.614394955,6.222606086,0.427948595
1242-020.1 ,11/28/2016 20:00,25.599,6964,3645,4268,-169,-986,-6.1,4271.364138,14449.60364,114966.5473,0.216666668,0.016666667,1788.263116,328.6967892,278.7237958,1319.053362,4027.417477,8213.091808,0.295336346,0.724625125,7.961369017,0.382647041,1.12E-04,28.86875509,1.351908236,0.52147579,0.217475873,0.433902061,0.184229928,0.803072721,0.157242299,2.53020389,0.068568602,2.577471511,0.091871797,0.590745637,0.281103863,0.79100433,0.490106661,0.708766061,6.238112147,0.506961731
1242-015.1 ,11/29/2016 1:42,31.299,6959,3527,4204,-127,-986,-6.5,4762.191079,15397.35773,125916.4158,0.300000002,0.083333334,1928.327364,353.3502679,288.4275931,1451.629665,4236.032181,8878.225838,0.309442679,1.358197047,8.175159554,0.880586587,1.12E-04,27.73620829,1.334872126,0.500612451,0.216887415,0.380452417,0.183025469,0.46993997,0.148225796,2.505471753,0.068093993,2.514596196,0.093439163,0.567103149,0.273975197,1.305736527,0.476538691,0.684993541,6.119823003,0.9154811
1242-016.1 ,11/29/2016 3:53,33.488,6959,3629,4206,-135,-986,-6.1,5953.494891,13393.612,108452.4385,0.261111113,0.100000001,2511.686674,460.4841678,528.8389683,1892.522972,7918.382935,11583.22003,0.444369371,0.661503361,8.084184585,0.403608753,6.41E-05,32.16416941,1.323998435,0.445270058,0.215538717,0.342794971,0.183590658,0.767128001,0.210760939,1.914631736,0.06637363,1.905217419,0.14180566,0.559486206,0.595632761,0.657840494,0.683548396,0.532026869,6.1237067,0.432004291
1242-014.2 ,11/29/2016 6:05,35.679,6959,3594,4131,-127,-986,-6.5,7481.880103,13200.39667,98582.7295,0.283333336,0.083333334,3072.488501,566.3891065,514.653504,2366.578304,7747.873757,14517.76699,0.567918543,1.244543147,7.46600925,0.973772189,6.51E-05,28.86823606,1.309685865,0.399874514,0.214279519,0.591274724,0.18468993,0.377721165,0.16641781,1.878306887,0.066719643,1.891695956,0.177044782,0.848972287,0.579728678,1.034024085,0.534617379,0.521911424,6.102148202,0.651465823
1242-019.1 ,11/29/2016 8:17,37.884,6959,3569,4266,-134,-986,-6.3,6764.139306,14112.69301,103865.4682,0.283333337,0.033333333,3020.857641,554.7909396,498.875358,2192.807669,7360.134456,13770.70661,0.479157622,0.620149312,7.361504431,0.816634415,8.28E-05,25.82071063,1.372305805,0.905809679,0.21881224,0.306935796,0.183894357,0.747065453,0.165582096,1.894383085,0.067785684,1.91238722,0.155555402,0.520595485,0.523286575,0.642263618,0.534372012,0.530074712,6.289106368,0.920751028
1242-017.1 ,11/29/2016 10:29,40.076,6959,3409,4291,-143,-986,-6.4,6784.74624,13245.80092,97899.15986,0.21666667,0.05,2688.226547,487.974373,484.0047289,2007.90249,7470.887161,12386.31009,0.511365831,0.632825448,7.390013954,0.404410065,6.20E-05,31.62353041,1.329841715,0.432511242,0.215857058,0.327778141,0.182095866,0.403396215,0.180721701,1.941209766,0.064442451,1.945489645,0.15207726,0.544360303,0.564567243,0.658590151,0.602677741,0.540702714,6.166204239,0.417466963
1242-020.2 ,11/29/2016 18:08,47.733,6962,3658,4249,-143,-986,-6.6,4745.11863,13131.53374,107595.9146,0.166666668,0.016666667,2642.974583,485.8214828,552.0061393,1981.292131,8180.694803,12440.01468,0.361929959,0.722437676,8.198754203,0.409678753,5.68E-05,33.33406083,1.356201304,0.434527706,0.216765476,0.331021088,0.182375416,0.407063403,0.206611874,3.201539032,0.0677611,3.325591334,0.147435329,0.553931881,0.606287029,0.642545827,0.658584092,0.513574923,6.25963704,0.41633171
11887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
